timestamp,seq,mode,board,cam,meas_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,mono_dist,meas_az,meas_el
1779612064.393142,0,two_crossing,BOARD_1,2,0,840.000,980.000,960.000,1060.000,900.000,1020.000,120.000,80.000,300.000000,355.351562,0.275000
1779612064.393142,0,two_crossing,BOARD_1,2,1,2880.000,1100.000,3000.000,1180.000,2940.000,1140.000,120.000,80.000,340.000000,4.648438,-0.275000
1779612064.456627,1,two_crossing,BOARD_1,2,0,856.670,980.000,976.670,1060.000,916.670,1020.000,120.000,80.000,300.000000,355.427533,0.275000
1779612064.456627,1,two_crossing,BOARD_1,2,1,2863.330,1100.000,2983.330,1180.000,2923.330,1140.000,120.000,80.000,340.000000,4.572467,-0.275000
1779612064.523523,2,two_crossing,BOARD_1,2,0,873.330,980.000,993.330,1060.000,933.330,1020.000,120.000,80.000,300.000000,355.503457,0.275000
1779612064.523523,2,two_crossing,BOARD_1,2,1,2846.670,1100.000,2966.670,1180.000,2906.670,1140.000,120.000,80.000,340.000000,4.496543,-0.275000
1779612064.590389,3,two_crossing,BOARD_1,2,0,890.000,980.000,1010.000,1060.000,950.000,1020.000,120.000,80.000,300.000000,355.579427,0.275000
1779612064.590389,3,two_crossing,BOARD_1,2,1,2830.000,1100.000,2950.000,1180.000,2890.000,1140.000,120.000,80.000,340.000000,4.420573,-0.275000
1779612064.656933,4,two_crossing,BOARD_1,2,0,906.670,980.000,1026.670,1060.000,966.670,1020.000,120.000,80.000,300.000000,355.655397,0.275000
1779612064.656933,4,two_crossing,BOARD_1,2,1,2813.330,1100.000,2933.330,1180.000,2873.330,1140.000,120.000,80.000,340.000000,4.344603,-0.275000
1779612064.727508,5,two_crossing,BOARD_1,2,0,923.330,980.000,1043.330,1060.000,983.330,1020.000,120.000,80.000,300.000000,355.731322,0.275000
1779612064.727508,5,two_crossing,BOARD_1,2,1,2796.670,1100.000,2916.670,1180.000,2856.670,1140.000,120.000,80.000,340.000000,4.268678,-0.275000
1779612064.792201,6,two_crossing,BOARD_1,2,0,940.000,980.000,1060.000,1060.000,1000.000,1020.000,120.000,80.000,300.000000,355.807292,0.275000
1779612064.792201,6,two_crossing,BOARD_1,2,1,2780.000,1100.000,2900.000,1180.000,2840.000,1140.000,120.000,80.000,340.000000,4.192708,-0.275000
1779612064.857605,7,two_crossing,BOARD_1,2,0,956.670,980.000,1076.670,1060.000,1016.670,1020.000,120.000,80.000,300.000000,355.883262,0.275000
1779612064.857605,7,two_crossing,BOARD_1,2,1,2763.330,1100.000,2883.330,1180.000,2823.330,1140.000,120.000,80.000,340.000000,4.116738,-0.275000
